,Watchers
473,0
474,0
475,0
476,2
477,3
478,18
479,0
480,1
481,7
482,0
483,1
484,0
485,0
486,0
487,11
488,53
489,1
490,0
491,4
492,11
493,146
494,9
495,60
496,0
497,0
498,4
499,1
500,1
501,7
502,2
503,1
504,1
505,11
506,1
507,3
508,5
509,0
510,2
511,0
512,58
513,7
514,7
515,1
516,1
517,1
518,1
519,4
520,21
521,7
522,0
523,0
524,4
525,8
526,0
527,0
528,0
529,0
530,1
531,1
532,1
533,0
534,1
535,0
536,0
537,0
538,2
539,1
540,0
541,0
542,4
543,0
544,2
545,5
546,0
547,0
548,1565
549,0
550,0
551,1
552,5
553,1
554,0
555,0
556,0
557,1
558,22
559,1
560,2
561,11
562,0
563,2
564,1
565,0
566,157
567,0
568,1
569,1
570,0
571,0
572,0
573,0
574,2
575,3
576,18
577,0
578,1
579,7
580,0
581,1
582,0
583,0
584,0
585,11
586,53
587,1
588,0
589,4
590,11
591,146
592,9
593,60
594,0
595,0
596,4
597,1
598,1
599,7
600,2
601,1
602,1
603,11
604,1
605,3
606,5
607,0
608,2
609,0
610,58
611,7
612,7
613,1
614,1
615,1
616,1
617,4
618,21
619,7
620,0
621,0
622,4
623,8
624,0
625,0
626,0
627,0
628,1
629,1
630,1
631,0
632,1
633,0
634,0
635,0
636,2
637,1
638,0
639,0
640,4
641,0
642,2
643,5
644,0
645,0
646,1565
647,0
648,0
649,1
650,5
651,1
652,0
653,0
654,0
655,1
656,22
657,1
658,2
659,11
660,0
661,2
662,1
663,0
664,157
665,0
666,1
667,1
668,0
669,0
670,0
671,0
672,2
673,3
674,18
675,0
676,1
677,7
678,0
679,1
680,0
681,0
682,0
683,11
684,53
685,1
686,0
687,4
688,11
689,146
690,9
691,60
692,0
693,0
694,4
695,1
696,1
697,7
698,2
699,1
700,1
701,11
702,1
703,3
704,5
705,0
706,2
707,0
708,58
709,7
710,7
711,1
712,1
713,1
714,1
715,4
716,21
717,7
718,0
719,0
720,4
721,8
722,0
723,0
724,0
725,0
726,1
727,1
728,1
729,0
730,1
731,0
732,0
733,0
734,2
735,1
736,0
737,0
738,4
739,0
740,2
741,5
742,0
743,0
744,1565
745,0
746,0
747,1
748,5
749,1
750,0
751,0
752,0
753,1
754,22
755,1
756,2
757,11
758,0
759,2
760,1
761,0
762,157
763,0
764,1
765,1
766,0
767,0
768,0
769,0
770,2
771,3
772,18
773,0
774,1
775,7
776,0
777,1
778,0
779,0
780,0
781,11
782,53
783,1
784,0
785,4
786,11
787,146
788,9
789,60
790,0
791,0
792,4
793,1
794,1
795,7
796,2
797,1
798,1
799,11
800,1
801,3
802,5
803,0
804,2
805,0
806,58
807,7
808,7
809,1
810,1
811,1
812,1
813,4
814,21
815,7
816,0
817,0
818,4
819,8
820,0
821,0
822,0
823,0
824,1
825,1
826,1
827,0
828,1
829,0
830,0
831,0
832,2
833,1
834,0
835,0
836,4
837,0
838,2
839,5
840,0
841,0
842,1565
843,0
844,0
845,1
846,5
847,1
848,0
849,0
850,0
851,1
852,22
853,1
854,2
855,11
856,0
857,2
858,1
859,0
860,157
861,0
862,1
863,1
864,0
865,0
866,0
867,0
868,2
869,3
870,18
871,0
872,1
873,7
874,0
875,1
876,0
877,0
878,0
879,11
880,53
881,1
882,0
883,4
884,11
885,146
886,9
887,60
888,0
889,0
890,4
891,1
892,1
893,7
894,2
895,1
896,1
897,11
898,1
899,3
900,5
901,0
902,2
903,0
904,58
905,7
906,7
907,1
908,1
909,1
910,1
911,4
912,21
913,7
914,0
915,0
916,4
917,8
918,0
919,0
920,0
921,0
922,1
923,1
924,1
925,0
926,1
927,0
928,0
929,0
930,2
931,1
932,0
933,0
934,4
935,0
936,2
937,5
938,0
939,0
940,1565
941,0
942,0
943,1
944,5
945,1
946,0
947,0
948,0
949,1
950,22
951,1
952,2
953,11
954,0
955,2
956,1
957,0
958,157
959,0
960,1
961,1
962,0
963,0
964,0
965,0
966,2
967,3
968,18
969,0
970,1
971,7
972,0
973,1
974,0
975,0
976,0
977,11
978,53
979,1
980,
981,
982,
983,
984,
985,
986,
987,
988,
989,
990,
991,
992,
993,
994,
995,
996,
997,
